CustomerID,CustomerName,Region
C0001,Lawrence Carroll,South America
C0002,Elizabeth Lutz,Asia
C0003,Michael Rivera,South America
C0004,Kathleen Rodriguez,South America
C0005,Laura Weber,Asia
C0006,Brittany Palmer,South America
C0007,Paul Graves,Asia
C0008,David Li,North America
C0009,Joy Clark,Europe
C0010,Aaron Cox,Europe
C0011,Bryan Mathews,South America
C0012,Kevin May,South America
C0013,Lauren Buchanan,South America
C0014,Deborah Wilcox,Europe
C0015,Tina Duran,North America
C0016,Emily Woods,North America
C0017,Jennifer King,Europe
C0018,Tyler Haynes,North America
C0019,Brandon Rodriguez,Europe
C0020,Mr. Manuel Conway,North America
C0021,Robert Blanchard,Asia
C0022,Teresa Esparza,Asia
C0023,Nicholas Cain,Europe
C0024,Michele Cooley,North America
C0025,Gregory Odom,South America
C0026,Sara Miller,North America
C0027,Justin Heath,Asia
C0028,Jennifer Pena,Asia
C0029,Erin Manning,North America
C0030,Mark Brock,North America
C0031,Tina Miller,South America
C0032,Dustin Campbell,South America
C0033,Tyler Holt,North America
C0034,Dalton Perez,North America
C0035,Brianna Richardson,North America
C0036,Brian Aguilar DDS,North America
C0037,Linda Smith,Europe
C0038,Jeffrey Perkins,North America
C0039,Angela Harris,South America
C0040,Michael Harrell,Asia
C0041,Lindsey Deleon,Europe
C0042,Heather Riley,North America
C0043,Sandy Short MD,Asia
C0044,Kenneth Alexander,Europe
C0045,Michael Williams,Asia
C0046,Beth Cardenas,North America
C0047,Samantha Frank,North America
C0048,Matthew Park,South America
C0049,Jason Yates,North America
C0050,Ryan Davis,North America
C0051,Nicholas Ellis,Europe
C0052,Stanley Aguirre,South America
C0053,Albert Burke,Europe
C0054,Bruce Rhodes,Asia
C0055,Lauren Williams,North America
C0056,Erika Fernandez,Asia
C0057,Elizabeth Nguyen,Europe
C0058,Zachary Turner,North America
C0059,Mrs. Kimberly Wright,North America
C0060,James Murphy,Europe
C0061,Brandon Escobar,Europe
C0062,Jeffery Hartman,Europe
C0063,Wayne Ferguson,Europe
C0064,Martha Montgomery,Europe
C0065,Gerald Hines,North America
C0066,Catherine White,Europe
C0067,Carl Gonzalez,North America
C0068,Mark Cox,North America
C0069,Stacy Foster,Europe
C0070,Timothy Perez,Europe
C0071,Taylor Murphy,South America
C0072,Sarah Scott,North America
C0073,Heidi Johnson,Europe
C0074,Jonathan Russo,Europe
C0075,Misty Higgins,Europe
C0076,Emily Roberts,South America
C0077,Scott Sims,South America
C0078,Julia Palmer,Asia
C0079,Brian Murillo,North America
C0080,David Gonzalez,Asia
C0081,Kimberly Turner,Europe
C0082,Aimee Taylor,South America
C0083,Christina Stark,South America
C0084,Belinda Garner,Asia
C0085,Richard Brown,South America
C0086,Stephanie Peterson,Europe
C0087,Travis Campbell,South America
C0088,Carlos Murray,Asia
C0089,Paul Carter,Europe
C0090,Charles Hamilton,Asia
C0091,Lisa Kirk,South America
C0092,Jacqueline Zamora,Asia
C0093,Nancy Walker,Asia
C0094,Emily Trevino,North America
C0095,William Walker,South America
C0096,Benjamin Mcclure,South America
C0097,Tina Ford,Asia
C0098,Laura Gilbert,North America
C0099,Rodney Eaton,South America
C0100,Clinton Gomez,Europe
C0101,Kelsey Roberts,Asia
C0102,Michael Atkinson,South America
C0103,Jennifer Munoz,Europe
C0104,Laura Bennett,South America
C0105,Ryan Hampton,Europe
C0106,Amanda Mcguire,Asia
C0107,Dana Cantrell,South America
C0108,David Davis,South America
C0109,Abigail Jones,North America
C0110,Elizabeth Wells,Asia
C0111,Roger David,Europe
C0112,Brian Adkins,South America
C0113,Joseph Ortiz Jr.,South America
C0114,Benjamin Anderson,Europe
C0115,Joshua Hamilton,Asia
C0116,James Martinez,North America
C0117,Jeffrey Mcmahon,North America
C0118,Jacob Holt,South America
C0119,David Armstrong,Europe
C0120,Francisco Diaz,South America
C0121,Mark Atkinson,Europe
C0122,Corey Ruiz,North America
C0123,Jason Johnston,Asia
C0124,Lindsay Perez,Europe
C0125,Nicholas Taylor,North America
C0126,Caitlin Brown,South America
C0127,Kathryn Stevens,Europe
C0128,Henry Leach,Asia
C0129,Marcus Livingston,South America
C0130,Robert Jones,South America
C0131,Scott Wilson,North America
C0132,Lisa Jackson,Europe
C0133,Gwendolyn Carter,South America
C0134,Theresa Gonzalez,Asia
C0135,Toni Weaver,Europe
C0136,Kristen Holder,Asia
C0137,Robert Gardner,South America
C0138,Cynthia Clayton,Asia
C0139,Ricky Gutierrez,North America
C0140,Gregory Estrada,Asia
C0141,Paul Parsons,Europe
C0142,Nicole Long DVM,Asia
C0143,Brian Parker,Asia
